model,term,estimate,std_error,statistic,p_value,r_squared,adj_r_squared,n
M1_bivariate,(Intercept),9.900782883013708,0.06588686646913247,150.26944539322042,0,0.0371264785845835,0.037100586535497415,37190
M1_bivariate,gini,-0.08339890129279105,0.0022024277008025634,-37.86680546308083,6.578303030391442e-308,0.0371264785845835,0.037100586535497415,37190
M2_macro_control,(Intercept),10.001019187382095,0.06691221143363056,149.46478337966738,0,0.03892760499358755,0.03887591637148813,37190
M2_macro_control,gini,-0.0931849236673337,0.0024931689350420924,-37.37609688521185,3.5263104180633935e-300,0.03892760499358755,0.03887591637148813,37190
M2_macro_control,unemployment_rate,0.02849389966161063,0.0034132042149421266,8.348137956958947,7.171299560049501e-17,0.03892760499358755,0.03887591637148813,37190
M3_micro_macro_controls,(Intercept),9.478886160741222,0.08439342158222354,112.31783216072182,0,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,gini,-0.07946931016849665,0.0024423409701032667,-32.53817183648053,5.089363036092249e-229,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,unemployment_rate,0.029873781060202546,0.0033062096430075925,9.035658438473057,1.7066512325883765e-19,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,agea,-0.010868392169785702,6.559246196114456e-4,-16.569574985954763,1.9219174528205275e-61,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,hinctnta,0.14394724112065774,0.0036513335703898192,39.4231965789118,0,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,factor(evmar)2,-0.28328715738717053,0.025153749670285826,-11.262223767847154,2.2496306092505403e-29,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,factor(evmar)7,-1.381585480510021,0.31472280469733926,-4.38984865376583,1.1374198679988824e-5,0.09990439214110812,0.09973493731740268,37190
M3_micro_macro_controls,factor(evmar)9,-0.21071421625797662,1.2961484153713725,-0.16256951268779107,0.87085827639344,0.09990439214110812,0.09973493731740268,37190
M5_log_gini,(Intercept),14.33063760996237,0.2473331480877535,57.94062672455807,0,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,log_gini,-2.1289269019515116,0.07366425531802681,-28.90040621140345,1.212741408694075e-181,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,unemployment_rate,0.025111295499078777,0.0033276674589565727,7.546215422304458,4.583034514549138e-14,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,agea,-0.010845515398998952,6.578523177088175e-4,-16.486246391548715,7.579860991150579e-61,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,hinctnta,0.14620935347308428,0.003659320472829128,39.95532901769752,0,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,factor(evmar)2,-0.27227974702869384,0.025216934627931967,-10.797495851343427,3.880994401235116e-27,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,factor(evmar)7,-1.4443961417405626,0.31561832651266153,-4.576401369654365,4.745705078204799e-6,0.09461282875226035,0.09444237772222597,37190
M5_log_gini,factor(evmar)9,-0.1947833852937041,1.2999523430600477,-0.1498388662735051,0.8808925573586464,0.09461282875226035,0.09444237772222597,37190
M6_quadratic_gini,(Intercept),-3.0770587039195783,0.38172903772558553,-8.060845258860267,7.801550730933884e-16,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,gini,0.763934907952729,0.025141303076378383,30.385652868983044,2.4185220511580024e-200,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,I(gini^2),-0.013675800263414207,4.0579534339053446e-4,-33.70122522636421,2.770010239251746e-245,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,unemployment_rate,0.013340512352708915,0.00329362507953406,4.0504040473836085,5.123292895292359e-5,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,agea,-0.01080536616438367,6.461415419739214e-4,-16.72290893319436,1.5117867487332256e-62,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,hinctnta,0.13739560851331284,0.003602108812275777,38.14310329690114,2.668703022905e-312,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,factor(evmar)2,-0.32608408068702466,0.024810998691370562,-13.14272290056744,2.2937179197004598e-39,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,factor(evmar)7,-1.0868128131160613,0.3101507915332228,-3.504143283798919,4.586172270978828e-4,0.1265847162781509,0.12639678905000273,37190
M6_quadratic_gini,factor(evmar)9,-0.2783430054092833,1.276812665901751,-0.2179983116103435,0.8274316232729492,0.1265847162781509,0.12639678905000273,37190
M7_lagged_macro,(Intercept),9.633271659073548,0.08512500317020745,113.16618267622053,0,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,gini_lag1,-0.08444729831802442,0.0024656356922592012,-34.249706306225406,3.85711866030174e-253,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,unemployment_rate_lag1,0.03336456295245911,0.003136471447719853,10.637610929541358,2.173691844843991e-26,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,agea,-0.010929210457123162,6.548899551117782e-4,-16.68862130471636,2.6746928776096367e-62,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,hinctnta,0.14181731792468322,0.0036510271555231662,38.84312876450293,2e-323,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,factor(evmar)2,-0.29061595847310534,0.025121383711627157,-11.568469388833742,6.725518898065677e-31,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,factor(evmar)7,-1.3432644397560853,0.3142375577143677,-4.274678206915902,1.9188986675604026e-5,0.1027891684545086,0.10262025672784458,37190
M7_lagged_macro,factor(evmar)9,-0.19308791634178007,1.2940641813919007,-0.1492104635290144,0.8813883729526868,0.1027891684545086,0.10262025672784458,37190
M8_balanced_sample,(Intercept),9.478886160741222,0.08439342158222354,112.31783216072182,0,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,gini,-0.07946931016849665,0.0024423409701032667,-32.53817183648053,5.089363036092249e-229,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,unemployment_rate,0.029873781060202546,0.0033062096430075925,9.035658438473057,1.7066512325883765e-19,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,agea,-0.010868392169785702,6.559246196114456e-4,-16.569574985954763,1.9219174528205275e-61,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,hinctnta,0.14394724112065774,0.0036513335703898192,39.4231965789118,0,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,factor(evmar)2,-0.28328715738717053,0.025153749670285826,-11.262223767847154,2.2496306092505403e-29,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,factor(evmar)7,-1.381585480510021,0.31472280469733926,-4.38984865376583,1.1374198679988824e-5,0.09990439214110812,0.09973493731740268,37190
M8_balanced_sample,factor(evmar)9,-0.21071421625797662,1.2961484153713725,-0.16256951268779107,0.87085827639344,0.09990439214110812,0.09973493731740268,37190
M9_income_interaction,(Intercept),10.885826983081522,0.14162879659907548,76.86167816490916,0,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,gini,-0.12629812603961246,0.004506030225618368,-28.028690380628863,4.396250879811484e-171,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,hinctnta,-0.14347778120281232,0.023545391494490982,-6.093667256982431,1.1143507728831832e-9,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,unemployment_rate,0.027579781638860185,0.0033047059637042373,8.345608336042723,7.326233889425721e-17,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,agea,-0.010682007824235236,6.547646409138211e-4,-16.314271047573538,1.2596769935710284e-59,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,factor(evmar)2,-0.2883541372352638,0.02510595134657135,-11.48548936683268,1.7568085732470434e-30,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,factor(evmar)7,-1.3661381129323462,0.3140853354913832,-4.349576241103513,1.3676354471995255e-5,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,factor(evmar)9,-0.11368251857395953,1.2935366646686361,-0.08788503772568476,0.9299685220508835,0.10358528852995674,0.10339241266078258,37190
M9_income_interaction,gini:hinctnta,0.009734883439930914,7.878579360652423e-4,12.356140611528689,5.287399455566378e-35,0.10358528852995674,0.10339241266078258,37190
M10_age_interaction,(Intercept),6.689005347032534,0.20699739015254875,32.314442912072494,5.9385938884305054e-226,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,gini,0.01584030213888238,0.006904598582729303,2.2941669887231737,0.021786456324741937,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,agea,0.04125631118221292,0.003593466509655567,11.480922688818193,1.851773995482073e-30,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,unemployment_rate,0.025922273462046973,0.0033074856397717497,7.837456087590414,4.7195250277577935e-15,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,hinctnta,0.142622739215298,0.00364185077495966,39.16215903076858,0,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,factor(evmar)2,-0.26579805753395924,0.025108802458262785,-10.585851634134412,3.7765331736878744e-26,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,factor(evmar)7,-1.3097742748543333,0.31384778735583824,-4.17327866444163,3.0092921326352842e-5,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,factor(evmar)9,-0.2720232900262398,1.292395954527457,-0.21047983713760585,0.8332943402106976,0.10514187777726557,0.10494933682952923,37190
M10_age_interaction,gini:agea,-0.0017567459227485723,1.1908692763558254e-4,-14.751794824402422,4.126120115501074e-49,0.10514187777726557,0.10494933682952923,37190
